method,seed,coverage,risk
offline_ahc,0,0.05035372451102788,0.5082644628099173
offline_ahc,0,0.05534748231377445,0.4774436090225564
offline_ahc,0,0.06034124011652101,0.44482758620689655
offline_ahc,0,0.06533499791926758,0.43630573248407645
offline_ahc,0,0.07053682896379526,0.41002949852507375
offline_ahc,0,0.07553058676654183,0.3884297520661157
offline_ahc,0,0.08052434456928839,0.3669250645994832
offline_ahc,0,0.08551810237203496,0.34793187347931875
offline_ahc,0,0.09051186017478152,0.3333333333333333
offline_ahc,0,0.09550561797752809,0.3159041394335512
offline_ahc,0,0.10049937578027465,0.3002070393374741
offline_ahc,0,0.10570120682480233,0.2952755905511811
offline_ahc,0,0.1106949646275489,0.28383458646616544
offline_ahc,0,0.11568872243029546,0.2733812949640288
offline_ahc,0,0.12068248023304202,0.2655172413793103
offline_ahc,0,0.1256762380357886,0.2599337748344371
offline_ahc,0,0.13066999583853517,0.25477707006369427
offline_ahc,0,0.13566375364128172,0.25153374233128833
offline_ahc,0,0.1408655846858094,0.24519940915805022
offline_ahc,0,0.14585934248855598,0.24108416547788872
offline_ahc,0,0.15085310029130253,0.23724137931034484
offline_ahc,0,0.1558468580940491,0.2336448598130841
offline_ahc,0,0.16084061589679569,0.23415265200517466
offline_ahc,0,0.16583437369954224,0.23337515683814303
offline_ahc,0,0.17082813150228882,0.23142509135200975
offline_ahc,0,0.1760299625468165,0.2293144208037825
offline_ahc,0,0.18102372034956304,0.22758620689655173
offline_ahc,0,0.18601747815230962,0.23042505592841164
offline_ahc,0,0.19101123595505617,0.22875816993464052
offline_ahc,0,0.19600499375780275,0.22505307855626328
offline_ahc,0,0.2009987515605493,0.2204968944099379
offline_ahc,0,0.20599250936329588,0.2191919191919192
offline_ahc,0,0.21119434040782356,0.21773399014778325
offline_ahc,0,0.2161880982105701,0.21462945139557266
offline_ahc,0,0.2211818560133167,0.21260583254938853
offline_ahc,0,0.22617561381606324,0.21343146274149033
offline_ahc,0,0.23116937161880982,0.21152115211521152
offline_ahc,0,0.2361631294215564,0.2105726872246696
offline_ahc,0,0.24115688722430295,0.2079378774805867
offline_ahc,0,0.24635871826883063,0.20777027027027026
offline_ahc,0,0.2513524760715772,0.20860927152317882
offline_ahc,0,0.25634623387432376,0.2069805194805195
offline_ahc,0,0.26133999167707034,0.2085987261146497
offline_ahc,0,0.2663337494798169,0.20703125
offline_ahc,0,0.27132750728256344,0.2085889570552147
offline_ahc,0,0.27652933832709115,0.2091798344620015
offline_ahc,0,0.2815230961298377,0.2099039172209904
offline_ahc,0,0.28651685393258425,0.20915032679738563
offline_ahc,0,0.2915106117353308,0.20842255531763026
offline_ahc,0,0.2965043695380774,0.20912280701754385
offline_ahc,0,0.301498127340824,0.2056590752242926
offline_ahc,0,0.30649188514357056,0.20638153428377462
offline_ahc,0,0.3116937161880982,0.2082777036048064
offline_ahc,0,0.3166874739908448,0.20630749014454666
offline_ahc,0,0.32168123179359137,0.20439844760672704
offline_ahc,0,0.3266749895963379,0.2031847133757962
offline_ahc,0,0.3316687473990845,0.2013801756587202
offline_ahc,0,0.33666250520183105,0.1996291718170581
offline_ahc,0,0.34165626300457763,0.1997563946406821
offline_ahc,0,0.3468580940491053,0.19976004799040192
offline_ahc,0,0.35185185185185186,0.1986989946777055
offline_ahc,0,0.35684560965459844,0.19708454810495626
offline_ahc,0,0.36183936745734496,0.1960897067280046
offline_ahc,0,0.36683312526009154,0.19398752127056154
offline_ahc,0,0.3718268830628381,0.19306099608282037
offline_ahc,0,0.3768206408655847,0.1921590281612369
offline_ahc,0,0.38202247191011235,0.1906318082788671
offline_ahc,0,0.38701622971285893,0.18978494623655914
offline_ahc,0,0.3920099875156055,0.18895966029723993
offline_ahc,0,0.3970037453183521,0.18815513626834382
offline_ahc,0,0.4019975031210986,0.1873706004140787
offline_ahc,0,0.4069912609238452,0.18711656441717792
offline_ahc,0,0.41198501872659177,0.18585858585858586
offline_ahc,0,0.4171868497711194,0.18453865336658354
offline_ahc,0,0.422180607573866,0.1838344011828487
offline_ahc,0,0.4271743653766126,0.18168533852898197
offline_ahc,0,0.43216812317935915,0.18103033220991815
offline_ahc,0,0.4371618809821057,0.1808662541646835
offline_ahc,0,0.44215563878485226,0.17929411764705883
offline_ahc,0,0.44714939658759884,0.178687761749651
offline_ahc,0,0.4523512276321265,0.1780128794848206
offline_ahc,0,0.45734498543487306,0.17788898999090083
offline_ahc,0,0.46233874323761964,0.1782178217821782
offline_ahc,0,0.4673325010403662,0.1772039180765806
offline_ahc,0,0.4723262588431128,0.1762114537444934
offline_ahc,0,0.4773200166458593,0.17698343504795117
offline_ahc,0,0.4823137744486059,0.17687661777394306
offline_ahc,0,0.4875156054931336,0.17541613316261204
offline_ahc,0,0.49250936329588013,0.17574989438107308
offline_ahc,0,0.4975031210986267,0.17440401505646172
offline_ahc,0,0.5024968789013733,0.17349896480331262
offline_ahc,0,0.5074906367041199,0.17343173431734318
offline_ahc,0,0.5124843945068664,0.17336581404790904
offline_ahc,0,0.5176862255513941,0.17443729903536978
offline_ahc,0,0.5226799833541407,0.1735668789808917
offline_ahc,0,0.5276737411568873,0.17310725552050474
offline_ahc,0,0.5326674989596338,0.173828125
offline_ahc,0,0.5376612567623804,0.17337461300309598
offline_ahc,0,0.5426550145651269,0.17331288343558282
offline_ahc,0,0.5476487723678735,0.1736322188449848
offline_ahc,0,0.5528506034124012,0.17275122318404215
offline_ahc,0,0.5578443612151477,0.17195076464005968
offline_ahc,0,0.5628381190178943,0.17264325323475047
offline_ahc,0,0.5678318768206408,0.1714913887871015
offline_ahc,0,0.5728256346233874,0.17144932800581184
offline_ahc,0,0.577819392426134,0.17104789341015483
offline_ahc,0,0.5828131502288806,0.17065333809353803
offline_ahc,0,0.5880149812734082,0.17126680820948337
offline_ahc,0,0.5930087390761548,0.17228070175438598
offline_ahc,0,0.5980024968789014,0.17188587334725122
offline_ahc,0,0.602996254681648,0.17184265010351968
offline_ahc,0,0.6079900124843945,0.17145790554414783
offline_ahc,0,0.6129837702871411,0.17175831636116767
offline_ahc,0,0.6179775280898876,0.1717171717171717
offline_ahc,0,0.6231793591344154,0.1726210350584307
offline_ahc,0,0.6281731169371619,0.17191122888373633
offline_ahc,0,0.6331668747399084,0.17219848833388104
offline_ahc,0,0.638160632542655,0.17182914900554289
offline_ahc,0,0.6431543903454016,0.17243610482044647
offline_ahc,0,0.6481481481481481,0.17174959871589085
offline_ahc,0,0.6531419059508947,0.17234788149092067
offline_ahc,0,0.6583437369954224,0.17256637168141592
offline_ahc,0,0.663337494798169,0.17220828105395233
offline_ahc,0,0.6683312526009155,0.1727895392278954
offline_ahc,0,0.6733250104036621,0.17212608158220025
offline_ahc,0,0.6783187682064087,0.1736196319018405
offline_ahc,0,0.6833125260091553,0.17478684531059682
offline_ahc,0,0.6883062838119018,0.17533252720677148
offline_ahc,0,0.6935081148564295,0.17641764176417643
offline_ahc,0,0.6985018726591761,0.17724158474828716
offline_ahc,0,0.7034956304619226,0.17805383022774326
