recording,method,latency_budget_ms,ablation,seed,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_001_1003,online,500.0,no_spawn,1,0.5214618169281159,0.1063609722461644,0.0329253576969488,0.3821754869850026,0.913561634253804,0.5265855221012171,0.4676315789473684,0.0963626960868815,2.0,2.0,0.0,500.0,500.0,500.0,500.0,215.0,0.5274725274725275,60.0,0.1066386875238458,0.0599088000017218,0.0384592000045813,0.1121825000154785,0.0018697083335913,2.823255813953488
test_001_1004,online,500.0,no_spawn,1,0.2464604090194022,0.0499912602691837,0.0288411116937598,0.1676280370564586,0.473587527116016,0.2191517942813279,0.1759098786828422,0.0445726271630833,4.0,3.0,-1.0,500.0,500.0,500.0,500.0,224.0,0.8173076923076923,60.0,0.0466520307354555,0.0537303000164683,0.0403346999955829,0.1090013000066392,0.0018166883334439,2.821428571428572
test_001_1005,online,500.0,no_spawn,1,0.4188517566409597,0.0363324764353042,0.0260497000856898,0.3564695801199657,0.8156118143459916,0.4130075326106926,0.3646666666666666,0.0335904027420736,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,231.0,0.6214953271028038,60.0,0.0347579358042206,0.0679600000148639,0.0370507999905385,0.1194107000192161,0.0019901783336536,2.9177489177489178
test_001_1006,online,500.0,no_spawn,1,0.625518341307815,0.1097288676236044,0.0267942583732057,0.4889952153110047,1.056781336496639,0.622055239642567,0.5862460281434407,0.1076555023923445,5.0,1.0,-4.0,500.0,500.0,500.0,500.0,230.0,0.4145077720207253,60.0,0.1199285075960679,0.0638783000176772,0.0397544000006746,0.1181945000134874,0.0019699083335581,2.891304347826087
test_001_1007,online,500.0,no_spawn,1,0.609291038308199,0.0598023920956838,0.0261743803085456,0.5233142659039695,1.101060302102899,0.6078012808072967,0.566320645905421,0.0533888022187554,5.0,2.0,-3.0,500.0,500.0,500.0,500.0,223.0,0.4207920792079208,60.0,0.0563999267533418,0.0595189000014215,0.0385081999993417,0.1119319999997969,0.0018655333333299,2.878923766816144
test_001_1008,online,500.0,no_spawn,1,0.6038328101767718,0.0847513629605154,0.0264331736329093,0.4926482735833471,1.0863544761140105,0.5731731337403979,0.5506018724921979,0.0806211795803733,5.0,2.0,-3.0,500.0,500.0,500.0,500.0,228.0,0.4079601990049751,60.0,0.0876909254267744,0.0621070000051986,0.043450400000438,0.1204770999902393,0.0020079516665039,2.837719298245614
test_001_1009,online,500.0,no_spawn,1,0.5475777181631687,0.0875808742307085,0.0146757140602808,0.4453211298721792,0.9949324324324323,0.4899790036266463,0.5147340221967087,0.0866340539687549,3.0,1.0,-2.0,500.0,500.0,500.0,500.0,235.0,0.5369458128078818,60.0,0.094851416724257,0.0647537999902851,0.0414932999992743,0.1195367999898735,0.0019922799998312,2.9574468085106385
test_001_1010,online,500.0,no_spawn,1,0.5806610754810064,0.0935701364907087,0.0226936359151455,0.4643973030751521,1.0203490531006314,0.5327363184079602,0.475417439703154,0.0868278243709916,5.0,1.0,-4.0,500.0,500.0,500.0,500.0,226.0,0.5129533678756477,60.0,0.095083738519719,0.0655336000199895,0.0419844000134617,0.1220711000496521,0.0020345183341608,2.871681415929204
test_001_1011,online,500.0,no_spawn,1,0.466381015161503,0.0980553724456163,0.025049439683586,0.3432762030323006,0.8307940228537943,0.4589867310012063,0.4154867256637168,0.0901450230718523,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.5670103092783505,60.0,0.0990762543017569,0.0666888000268954,0.038683899998432,0.1194340000220108,0.0019905666670335,2.88
test_001_1012,online,500.0,no_spawn,1,0.6868209730751063,0.1143127066603684,0.0236183278223901,0.5488899385923477,1.1399719495091163,0.6668707899571341,0.6231055900621117,0.1143127066603684,5.0,1.0,-4.0,500.0,500.0,500.0,500.0,231.0,0.3723404255319149,60.0,0.1290666666666666,0.0642784999799914,0.0442526000260841,0.1234701000212226,0.0020578350003537,2.9047619047619047
